ID Detailed Occupation,Detailed Occupation,Average Wage
519196,"Paper goods machine setters, operators, & tenders",30513.574348651582
519197,Tire builders,39806.21547888861
519198,Helpersproduction workers,17466.60141660227
5191XX,"Miscellaneous production workers, including semiconductor processors",29526.910496311615
531000,Supervisors of transportation & material moving workers,46180.44061832814
532010,Aircraft pilots & flight engineers,115613.87787785068
532020,Air traffic controllers & airfield operations specialists,73129.95560560029
532031,Flight attendants,41477.25663697701
533011,"Ambulance drivers & attendants, except emergency medical technicians",23539.249748154118
533020,Bus drivers,23089.8522569023
533030,Driver/sales workers & truck drivers,32812.074250874284
533041,Taxi drivers & chauffeurs,17291.237954949716
533051,"Bus drivers, school",19863.52543073626
533052,"Bus drivers, transit and intercity",31058.899701309867
533053,Shuttle drivers and chauffeurs,20707.831104655925
533054,Taxi drivers,15216.587330334216
533099,"Motor vehicle operators, all other",16018.45901223008
534010,Locomotive engineers & operators,69242.97227760029
534031,Railroad conductors & yardmasters,60032.111797587524
5340XX,"Subway, streetcar, & other rail transportation workers",47802.9807478361
535020,Ship & boat captains & operators,58756.26745002127
5350XX,"Sailors & marine oilers, & ship engineers",40118.08176109504
536021,Parking lot attendants,16110.739375709554
536030,Transportation service attendants,21263.76517167313
536031,Automotive & watercraft service attendants-,17287.88634659336
536051,Transportation inspectors,49656.38642631887
536061,"Transportation attendants, except flight attendants",21270.041823927855
5360XX,"Miscellaneous transportation workers, including bridge & lock tenders & traffic technicians",36419.370915833315
537021,Crane & tower operators,52157.03533231164
537030,"Dredge, excavating, & loading machine operators",31591.4535270772
537051,Industrial truck & tractor operators,28316.51640626329
537061,Cleaners of vehicles & equipment,16482.65136833201
537062,"Laborers & freight, stock, & material movers, hand",20371.86646852022
537063,Machine feeders & offbearers,21028.71497015038
537064,"Packers & packagers, hand",15927.191616983548
537065,Stockers and order fillers,18440.95980045285
537070,Pumping station operators,47345.515473602274
537081,Refuse & recyclable material collectors,22188.50703081367
5370XX,"Conveyor operators & tenders, & hoist & winch operators",35594.34562280398
5371XX,"Miscellaneous material moving workers, including mine shuttle car operators, & tank car, truck, & ship loaders",31943.501421274956
551010,Military officer special & tactical operations leaders,56340.69434756887
552010,Firstline enlisted military supervisors,53819.43788058442
553010,Military enlisted tactical operations & air/weapons specialists & crew members,25876.237560075784
559830,"Military, rank not specified",42402.01984131153
